KEY,COLUMN_2,COLUMN_3
Basket_DismantleActions[0].ActionName,Place,Place
BasketPlaced_CardName,Basket,Basket
BasketPlaced_CardDescription,I can store things inside.,I can store things inside.
BasketPlaced_DismantleActions[0].ActionName,Pick Up,Pick Up
BeltBag_CardName,Belt Bag,Belt Bag
BeltBag_CardDescription,Comfortable and practical.,Comfortable and practical.
BeltMilitary_CardName,Military Belt,Military Belt
BeltMilitary_CardDescription,"It can keep my gun, knife and canteen there.","It can keep my gun, knife and canteen there."
Bookshelf_CardName,Bookshelf,Bookshelf
Bookshelf_CardDescription,"A shelving unit, can store and display things on it.","A shelving unit, can store and display things on it."
Bookshelf_DismantleActions[0].ActionName,Dismantle,Dismantle
Chest_CardName,Storage Chest,Storage Chest
Chest_CardDescription,A large storage chest.,A large storage chest.
ChestFarmer_CardName,Storage Chest,Storage Chest
ChestFarmer_CardDescription,A large storage chest.,A large storage chest.
ClayPotCoolerOff_CardName,Clay Pot Cooler,Clay Pot Cooler
ClayPotCoolerOff_CardDescription,Needs water to work.,Needs water to work.
ClayPotCoolerOff_CardInteractions[0].ActionName,Fill,Fill
ClayPotCoolerOff_DismantleActions[0].ActionName,Empty and Move,Empty and Move
ClayPotCoolerOn_CardName,Clay Pot Cooler,Clay Pot Cooler
ClayPotCoolerOn_CardDescription,To store food and make it last longer.,To store food and make it last longer.
ClayPotCoolerOn_FuelCapacity.OnZero.ActionDescription,Clay Pot Cooler is out of water!,Clay Pot Cooler is out of water!
ClayPotCoolerOn_CardInteractions[0].ActionName,Fill,Fill
ClayPotCoolerOn_DismantleActions[0].ActionName,Empty and Move,Empty and Move
ClayPotCoolerUndeployed_CardName,Clay Pot Cooler,Clay Pot Cooler
ClayPotCoolerUndeployed_CardDescription,To store food and make it last longer.,To store food and make it last longer.
ClayPotCoolerUndeployed_DismantleActions[0].ActionName,Place,Place
LuggageA_CardName,Luggage,Luggage
LuggageA_CardDescription,I can store things inside.,I can store things inside.
LuggageA_DismantleActions[0].ActionName,Place,Place
LuggageAPlaced_CardName,Luggage,Luggage
LuggageAPlaced_CardDescription,I can store things inside.,I can store things inside.
LuggageAPlaced_DismantleActions[0].ActionName,Pick Up,Pick Up
LuggageB_CardName,Luggage,Luggage
LuggageB_CardDescription,I can store things inside.,I can store things inside.
LuggageC_CardName,Luggage,Luggage
LuggageC_CardDescription,I can store things inside.,I can store things inside.
LuggageC_DismantleActions[0].ActionName,Place,Place
LuggageCPlaced_CardName,Luggage,Luggage
LuggageCPlaced_CardDescription,I can store things inside.,I can store things inside.
LuggageCPlaced_DismantleActions[0].ActionName,Pick Up,Pick Up
LuggageD_CardName,Luggage,Luggage
LuggageD_CardDescription,I can store things inside.,I can store things inside.
LuggagePlacedReference_CardName,Basket,Basket
LuggagePlacedReference_CardDescription,I can store things inside.,I can store things inside.
LuggagePlacedReference_DismantleActions[0].ActionName,Pick Up,Pick Up
Sack_CardName,Sack,Sack
Sack_CardDescription,I can store things inside.,I can store things inside.
SackPlastic_CardName,Plastic Sack,Plastic Sack
SackPlastic_CardDescription,I can store things inside.,I can store things inside.
Satchel_CardName,Satchel,Satchel
Satchel_CardDescription,I can store things inside. <b>CAN BE EQUIPPED ON EQUIPMENT SLOTS</b>,I can store things inside. <b>CAN BE EQUIPPED ON EQUIPMENT SLOTS</b>
Satchel_DismantleActions[0].ActionName,Dismantle,Dismantle
SatchelHunter_CardName,Satchel,Satchel
SatchelHunter_CardDescription,I can store things inside. <b>CAN BE EQUIPPED ON EQUIPMENT SLOTS</b>,I can store things inside. <b>CAN BE EQUIPPED ON EQUIPMENT SLOTS</b>
SatchelHunter_DismantleActions[0].ActionName,Dismantle,Dismantle
Shelf_CardName,Shelf,Shelf
Shelf_CardDescription,"A simple shelf, can store and display things on it.","A simple shelf, can store and display things on it."
Shelf_DismantleActions[0].ActionName,Dismantle,Dismantle
SupplyChestRaft_CardName,Supply Chest,Supply Chest
SupplyChestRaft_CardDescription,This chest is secured to the raft and should keep its contents relatively dry.,This chest is secured to the raft and should keep its contents relatively dry.
SupplyChestRaft_UsageDurability.OnZero.ActionDescription,I lost a Supply Chest!,I lost a Supply Chest!
SupplyChestRaft_UsageDurability.OnZero.ActionLog.LogText,I lost a supply chest!,I lost a supply chest!
SupplyChestRaft_CardInteractions[0].ActionName,Repair,Repair
SupplyChestRaft_DismantleActions[0].ActionName,Dismantle,Dismantle
Trunk_CardName,Storage Trunk,Storage Trunk
Trunk_CardDescription,I can store things inside.,I can store things inside.
Trunk_DismantleActions[0].ActionName,Place,Place
TrunkPerk_CardName,Super Survival Trunk 2000,Super Survival Trunk 2000
TrunkPerk_CardDescription,I can store things inside.,I can store things inside.
TrunkPerk_DismantleActions[0].ActionName,Place,Place
TrunkPerkPlaced_CardName,Super Survival Trunk 2000,Super Survival Trunk 2000
TrunkPerkPlaced_CardDescription,I can store things inside.,I can store things inside.
TrunkPerkPlaced_DismantleActions[0].ActionName,Pick Up,Pick Up
TrunkPlaced_CardName,Trunk,Trunk
TrunkPlaced_CardDescription,I can store things inside.,I can store things inside.
TrunkPlaced_DismantleActions[0].ActionName,Pick Up,Pick Up
AxeCopper_CardName,Copper Axe,Copper Axe
AxeCopper_CardDescription,I can cut down trees with this.,I can cut down trees with this.
AxeCopper_DismantleActions[0].ActionName,Dismantle,Dismantle
AxeFlint_CardName,Flint Axe,Flint Axe
AxeFlint_CardDescription,I can cut down trees with this.,I can cut down trees with this.
AxeHead_CardName,Axe Head,Axe Head
AxeHead_CardDescription,Can be used to make an Axe.,Can be used to make an Axe.
AxeHeadBlunt_CardName,Blunt Axe Head,Blunt Axe Head
AxeHeadBlunt_CardDescription,I should sharpen it with a stone before I can use it again.,I should sharpen it with a stone before I can use it again.
AxeHeadBlunt_CardInteractions[0].ActionName,Sharpen,Sharpen
AxeScrap_CardName,Scrap Axe,Scrap Axe
AxeScrap_CardDescription,I can cut down trees with this.,I can cut down trees with this.
AxeScrap_DismantleActions[0].ActionName,Break,Break
AxeSurvival_CardName,Survival Axe,Survival Axe
AxeSurvival_CardDescription,"I can cut down trees with this, and sharpen it when the blade gets dull.","I can cut down trees with this, and sharpen it when the blade gets dull."
AxeSurvival_CardInteractions[0].ActionName,Sharpen,Sharpen
AxeSurvivalBlunt_CardName,Blunt Survival Axe,Blunt Survival Axe
AxeSurvivalBlunt_CardDescription,Needs to be sharpened with a stone before it can be used again.,Needs to be sharpened with a stone before it can be used again.
AxeSurvivalBlunt_CardInteractions[0].ActionName,Sharpen,Sharpen
BeeSmokerOff_CardName,Bee Smoker,Bee Smoker
BeeSmokerOff_CardDescription,A tool for calming bees down.,A tool for calming bees down.
BeeSmokerOff_FuelCapacity.OnZero.ActionDescription,Beesmoker Finished,Beesmoker Finished
BeeSmokerOff_CardInteractions[0].ActionName,Light,Light
BeeSmokerOff_CardInteractions[1].ActionName,Light,Light
BeeSmokerOff_CardInteractions[2].ActionName,Fuel,Fuel
BeeSmokerOn_CardName,Bee Smoker,Bee Smoker
BeeSmokerOn_CardDescription,A tool for calming bees down.,A tool for calming bees down.
BeeSmokerOn_FuelCapacity.OnZero.ActionDescription,Bee Smoker out of Fuel!,Bee Smoker out of Fuel!
BeeSmokerOn_DismantleActions[0].ActionName,Extinguish,Extinguish
BeeSmokerUnfired_CardName,Unfired Bee Smoker,Unfired Bee Smoker
BeeSmokerUnfired_CardDescription,Need to fire it in a kiln.,Need to fire it in a kiln.
BeeSmokerUnfired_FuelCapacity.OnZero.ActionDescription,Torch Finished,Torch Finished
BowDrill_CardName,Bow Drill,Bow Drill
BowDrill_CardDescription,A faster way to make fire.,A faster way to make fire.
Box_CardName,Box,Box
Box_CardDescription,I can store things inside.,I can store things inside.
Broom_CardName,Broom,Broom
Broom_CardDescription,Perfect for cleaning the home.,Perfect for cleaning the home.
Broom_UsageDurability.OnZero.ActionName,The Broom broke!,The Broom broke!
Broom_DismantleActions[0].ActionName,Train,Train
Broom_DismantleActions[1].ActionName,Dismantle,Dismantle
CandleCitronellaOff_CardName,Citronella Candle,Citronella Candle
CandleCitronellaOff_CardDescription,A portable source of light. Smells good and repells bugs!,A portable source of light. Smells good and repells bugs!
CandleCitronellaOff_FuelCapacity.OnZero.ActionDescription,Candle Finished,Candle Finished
CandleCitronellaOff_CardInteractions[0].ActionName,Light,Light
CandleCitronellaOn_CardName,Citronella Candle,Citronella Candle
CandleCitronellaOn_CardDescription,A portable source of light. Smells good and repells bugs!,A portable source of light. Smells good and repells bugs!
CandleCitronellaOn_FuelCapacity.OnZero.ActionDescription,Candle Finished,Candle Finished
CandleCitronellaOn_DismantleActions[0].ActionName,Extinguish,Extinguish
CandleJasmineOff_CardName,Jasmine Candle,Jasmine Candle
CandleJasmineOff_CardDescription,A portable source of light. Smells very very good.,A portable source of light. Smells very very good.
CandleJasmineOff_FuelCapacity.OnZero.ActionDescription,Candle Finished,Candle Finished
CandleJasmineOff_CardInteractions[0].ActionName,Light,Light
CandleJasmineOn_CardName,Jasmine Candle,Jasmine Candle
CandleJasmineOn_CardDescription,A portable source of light. Smells very very good.,A portable source of light. Smells very very good.
CandleJasmineOn_FuelCapacity.OnZero.ActionDescription,Candle Finished,Candle Finished
CandleJasmineOn_DismantleActions[0].ActionName,Extinguish,Extinguish
CandleOff_CardName,Candle,Candle
CandleOff_CardDescription,A portable source of light.,A portable source of light.
CandleOff_FuelCapacity.OnZero.ActionDescription,Candle Finished,Candle Finished
CandleOff_CardInteractions[0].ActionName,Light,Light
CandleOn_CardName,Candle,Candle
CandleOn_CardDescription,A portable source of light.,A portable source of light.
CandleOn_FuelCapacity.OnZero.ActionDescription,Candle Finished,Candle Finished
CandleOn_DismantleActions[0].ActionName,Extinguish,Extinguish
CeremonialDagger_CardName,Ceremonial Dagger,Ceremonial Dagger
CeremonialDagger_CardDescription,A very sharp obsidian dagger.,A very sharp obsidian dagger.
ContainerBagA_CardName,Container Bag,Container Bag
ContainerBagA_CardDescription,I can store things inside.,I can store things inside.
ContainerBagB_CardName,Container Bag,Container Bag
ContainerBagB_CardDescription,"This bag was inside the Liferaft, it must have fallen from it.","This bag was inside the Liferaft, it must have fallen from it."
ContainerBagEasy_CardName,Container Bag,Container Bag
ContainerBagEasy_CardDescription,I can store things inside.,I can store things inside.
DynamiteOff_CardName,Dynamite,Dynamite
DynamiteOff_CardDescription,Very dangerous. Light the fuse and make things explode.,Very dangerous. Light the fuse and make things explode.
DynamiteOff_CardInteractions[0].ActionName,Light,Light
DynamiteOn_CardName,Dynamite,Dynamite
DynamiteOn_CardDescription,Very dangerous. I should use it soon.,Very dangerous. I should use it soon.
DynamiteOn_FuelCapacity.OnZero.ActionDescription,Dynamite Extinguished,Dynamite Extinguished
DynamiteOn_DismantleActions[0].ActionName,Extinguish,Extinguish
FirePlow_CardName,Hand Drill,Hand Drill
FirePlow_CardDescription,"I can start a fire if I use it on tinder, like fiber or dry leaves.","I can start a fire if I use it on tinder, like fiber or dry leaves."
FirePlow_CardInteractions[0].ActionName,Light Tinder,Light Tinder
FirstAidKitLifeRaft_CardName,First Aid Kit,First Aid Kit
FirstAidKitLifeRaft_CardDescription,Contains medical supplies inside.,Contains medical supplies inside.
FirstAidKitPlane_CardName,First Aid Kit,First Aid Kit
FirstAidKitPlane_CardDescription,Contains medical supplies inside.,Contains medical supplies inside.
FirstAidKitTrunk_CardName,First Aid Kit,First Aid Kit
FirstAidKitTrunk_CardDescription,Contains medical supplies inside.,Contains medical supplies inside.
FishingLine_CardName,Fishing Line,Fishing Line
FishingLine_CardDescription,Could use this for fishing!,Could use this for fishing!
FishingLine_FuelCapacity.CardStatName,Bait,Bait
FishingLine_FuelCapacity.OnZero.ActionDescription,Bait Consumed,Bait Consumed
FishingLine_CardInteractions[0].ActionName,Add Bait,Add Bait
FishingLineBait_CardName,Fishing Line (baited),Fishing Line (baited)
FishingLineBait_CardDescription,Could use this for fishing!,Could use this for fishing!
FishingLineBait_FuelCapacity.CardStatName,Bait,Bait
FishingLineBait_FuelCapacity.OnZero.ActionDescription,Bait Consumed,Bait Consumed
FishingLineRustic_CardName,Fishing Line,Fishing Line
FishingLineRustic_CardDescription,"Could use this for fishing, it will be more efective if I tie it to a fishing rod though. Or if I hook some bait to it.","Could use this for fishing, it will be more efective if I tie it to a fishing rod though. Or if I hook some bait to it."
FishingLineRustic_CardInteractions[0].ActionName,Add Bait,Add Bait
FishingLineRusticBait_CardName,Fishing Line (baited),Fishing Line (baited)
FishingLineRusticBait_CardDescription,"Could use this for fishing, it will be more efective if I tie it to a fishing rod though.","Could use this for fishing, it will be more efective if I tie it to a fishing rod though."
FishingLineRusticBait_FuelCapacity.CardStatName,Bait,Bait
FishingLineRusticBait_FuelCapacity.OnZero.ActionDescription,Bait Consumed,Bait Consumed
FishingRod_CardName,Fishing Rod,Fishing Rod
FishingRod_CardDescription,Could use this for fishing. Adding some bait should improve my chances.,Could use this for fishing. Adding some bait should improve my chances.
FishingRod_CardInteractions[0].ActionName,Add Bait,Add Bait
FishingRodBait_CardName,Fishing Rod (baited),Fishing Rod (baited)
FishingRodBait_CardDescription,Could use this for fishing.,Could use this for fishing.
FishingRodBait_FuelCapacity.CardStatName,Bait,Bait
FishingRodBait_FuelCapacity.OnZero.ActionDescription,Bait Consumed,Bait Consumed
FlareHand_CardName,Flare,Flare
FlareHand_CardDescription,I could use it to draw attention towards me if I ever saw a ship. Maybe it has other uses too...,I could use it to draw attention towards me if I ever saw a ship. Maybe it has other uses too...
FlareHand_DismantleActions[0].ActionName,Light Flare,Light Flare
FlareHandOn_CardName,Burning Flare,Burning Flare
FlareHandOn_CardDescription,I could use it to draw attention towards me if I ever saw a ship. Maybe it has other uses too...,I could use it to draw attention towards me if I ever saw a ship. Maybe it has other uses too...
Gun_CardName,Gun,Gun
Gun_CardDescription,Could be useful for hunting.,Could be useful for hunting.
Gun_UsageDurability.OnZero.ActionName,Out of ammo,Out of ammo
GunEmpty_CardName,Empty Gun,Empty Gun
GunEmpty_CardDescription,"A deadweight now, it no longer has any ammo.","A deadweight now, it no longer has any ammo."
GunEmpty_UsageDurability.OnZero.ActionName,Out of ammo,Out of ammo
HandDrill_CardName,Hand Drill,Hand Drill
HandDrill_CardDescription,"I can start a fire if I use it on tinder, like fiber or dry leaves.","I can start a fire if I use it on tinder, like fiber or dry leaves."
HarpoonBone_CardName,Harpoon,Harpoon
HarpoonBone_UsageDurability.OnZero.ActionName,The Harpoon Breaks,The Harpoon Breaks
HarpoonBone_UsageDurability.OnZero.ActionLog.LogText,My harpoon broke.,My harpoon broke.
HarpoonBone_DismantleActions[0].ActionName,Train,Train
KnifeBone_CardName,Bone Knife,Bone Knife
KnifeBone_CardDescription,"Pretty sharp, can use it to cut or puncture things.","Pretty sharp, can use it to cut or puncture things."
KnifeCopper_CardName,Copper Knife,Copper Knife
KnifeCopper_CardDescription,"A small knife, can use it to cut or puncture things.\nCan sharpen it again when it becomes blunt.","A small knife, can use it to cut or puncture things.\nCan sharpen it again when it becomes blunt."
KnifeCopper_CardInteractions[0].ActionName,Sharpen,Sharpen
KnifeCopperBlunt_CardName,Blunt Knife,Blunt Knife
KnifeCopperBlunt_CardDescription,I should sharpen it with a stone before I can use it again.,I should sharpen it with a stone before I can use it again.
KnifeCopperBlunt_CardInteractions[0].ActionName,Sharpen,Sharpen
KnifeFlint_CardName,Flint Knife,Flint Knife
KnifeFlint_CardDescription,A sharp stone knife.,A sharp stone knife.
KnifeGrandpa_CardName,Grandfather's Knife,Grandfather's Knife
KnifeGrandpa_CardDescription,"A small knife, can use it to cut or puncture things.\nCan sharpen it again when it becomes blunt.","A small knife, can use it to cut or puncture things.\nCan sharpen it again when it becomes blunt."
KnifeGrandpa_CardInteractions[0].ActionName,Sharpen,Sharpen
KnifeGrandpaBlunt_CardName,Grandfather's Blunt Knife,Grandfather's Blunt Knife
KnifeGrandpaBlunt_CardDescription,I should sharpen it with a stone before I can use it again.,I should sharpen it with a stone before I can use it again.
KnifeGrandpaBlunt_CardInteractions[0].ActionName,Sharpen,Sharpen
KnifeMilitary_CardName,Military Knife,Military Knife
KnifeMilitary_CardDescription,A sturdy military knife. A very useful tool.\nCan sharpen it again when it becomes blunt.,A sturdy military knife. A very useful tool.\nCan sharpen it again when it becomes blunt.
KnifeMilitary_CardInteractions[0].ActionName,Sharpen,Sharpen
KnifeMilitaryBlunt_CardName,Blunt Knife,Blunt Knife
KnifeMilitaryBlunt_CardDescription,I should sharpen it with a stone before I can use it again.,I should sharpen it with a stone before I can use it again.
KnifeMilitaryBlunt_CardInteractions[0].ActionName,Sharpen,Sharpen
KnifeObsidian_CardName,Obsidian Knife,Obsidian Knife
KnifeObsidian_CardDescription,"Extremely sharp, but also brittle.","Extremely sharp, but also brittle."
KnifeScrap_CardName,Scrap Knife,Scrap Knife
KnifeScrap_CardDescription,"A small knife, can use it to cut or puncture things.","A small knife, can use it to cut or puncture things."
Oxygen_CardName,Oxygen Respirator,Oxygen Respirator
Oxygen_CardDescription,Not much use now that I'm on land. Although perhaps I could use it to scuba dive too?,Not much use now that I'm on land. Although perhaps I could use it to scuba dive too?
Oxygen_UsageDurability.OnZero.ActionName,Out of ammo,Out of ammo
PlaneStorage_CardName,Storage Compartments,Storage Compartments
PlaneStorage_CardDescription,I can store things inside.,I can store things inside.
RubbingSticks_CardName,Rubbing Sticks,Rubbing Sticks
RubbingSticks_CardDescription,"I can start a fire if I use it on tinder, like fiber or dry leaves.","I can start a fire if I use it on tinder, like fiber or dry leaves."
SafetyKnife_CardName,Safety Knife,Safety Knife
SafetyKnife_CardDescription,"A small knife, can use it to cut or puncture things.","A small knife, can use it to cut or puncture things."
Shield_CardName,Shield,Shield
Shield_CardDescription,"A defensive tool, ideal companion for the spear.","A defensive tool, ideal companion for the spear."
Shield_UsageDurability.OnZero.ActionName,Shield,Shield
ShovelCopper_CardName,Copper Shovel,Copper Shovel
ShovelCopper_CardDescription,I can dig pretty well with this.,I can dig pretty well with this.
ShovelCopper_DismantleActions[0].ActionName,Dismantle,Dismantle
ShovelHead_CardName,Shovel Head,Shovel Head
ShovelHead_CardDescription,Can be used to make a shovel.,Can be used to make a shovel.
ShovelScrap_CardName,Scrap Shovel,Scrap Shovel
ShovelScrap_CardDescription,I can dig pretty well with this.,I can dig pretty well with this.
ShovelScrap_DismantleActions[0].ActionName,Break,Break
ShovelWooden_CardName,Wooden Shovel,Wooden Shovel
ShovelWooden_CardDescription,I can dig pretty well with this.,I can dig pretty well with this.
SignalingMirror_CardName,Signaling Mirror,Signaling Mirror
SignalingMirror_CardDescription,Could help draw attention if I see a ship or plane. Maybe it has other uses too...,Could help draw attention if I see a ship or plane. Maybe it has other uses too...
SpearCopper_CardName,Copper Spear,Copper Spear
SpearCopper_CardDescription,A great hunting tool.,A great hunting tool.
SpearCopper_UsageDurability.OnZero.ActionName,The Spear Breaks,The Spear Breaks
SpearCopper_DismantleActions[0].ActionName,Train,Train
SpearCopper_DismantleActions[1].ActionName,Dismantle,Dismantle
SpearFishing_CardName,Fishing Spear,Fishing Spear
SpearFishing_CardDescription,A pretty good spear for fishing. Should increase my chances of catching fish.,A pretty good spear for fishing. Should increase my chances of catching fish.
SpearFishing_UsageDurability.OnZero.ActionName,The Spear Breaks,The Spear Breaks
SpearFishing_DismantleActions[0].ActionName,Train,Train
SpearFishing_DismantleActions[1].ActionName,Break Spear,Break Spear
SpearFlint_CardName,Flint Spear,Flint Spear
SpearFlint_CardDescription,A hunting tool.,A hunting tool.
SpearFlint_UsageDurability.OnZero.ActionName,The Spear Breaks,The Spear Breaks
SpearFlint_DismantleActions[0].ActionName,Train,Train
SpearFlint_DismantleActions[1].ActionName,Dismantle,Dismantle
SpearHead_CardName,Spear Head,Spear Head
SpearHead_CardDescription,Can be used to make a spear.,Can be used to make a spear.
SpearHeadBlunt_CardName,Blunt Spear Head,Blunt Spear Head
SpearHeadBlunt_CardDescription,I should sharpen it with a stone before I can use it again.,I should sharpen it with a stone before I can use it again.
SpearHeadBlunt_CardInteractions[0].ActionName,Sharpen,Sharpen
SpearObsidian_CardName,Obsidian Spear,Obsidian Spear
SpearObsidian_CardDescription,A great hunting tool.,A great hunting tool.
SpearObsidian_UsageDurability.OnZero.ActionName,The Spear Breaks,The Spear Breaks
SpearObsidian_DismantleActions[0].ActionName,Train,Train
SpearObsidian_DismantleActions[1].ActionName,Dismantle,Dismantle
SpearRustic_CardName,Rustic Spear,Rustic Spear
SpearRustic_CardDescription,"Not the best spear, but it's something. Could be used for hunting or fishing.","Not the best spear, but it's something. Could be used for hunting or fishing."
SpearRustic_UsageDurability.OnZero.ActionName,The Spear Breaks,The Spear Breaks
SpearRustic_DismantleActions[0].ActionName,Train,Train
SpearScrap_CardName,Scrap Spear,Scrap Spear
SpearScrap_CardDescription,A great hunting tool.,A great hunting tool.
SpearScrap_UsageDurability.OnZero.ActionName,The Spear Breaks,The Spear Breaks
SpearScrap_DismantleActions[0].ActionName,Train,Train
SpearScrap_DismantleActions[1].ActionName,Dismantle,Dismantle
Spindle_CardName,Spindle,Spindle
Spindle_CardDescription,I can turn fibers into cord here.,I can turn fibers into cord here.
Spindle_Progress.OnFull.ActionName,Ready,Ready
Spindle_CardInteractions[0].ActionName,Spin Cord,Spin Cord
Spindle_CardInteractions[1].ActionName,Spin Cord,Spin Cord
Spindle_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Spindle is not free,Spindle is not free
SpindleFiber_CardName,Spindled Cord,Spindled Cord
SpindleFiber_CardDescription,I can turn fibers into cord here.,I can turn fibers into cord here.
SpindleFiber_DismantleActions[0].ActionName,Get Cord,Get Cord
SpindleFiber_DismantleActions[1].ActionName,Get Yarn,Get Yarn
StoneAxe_CardName,Stone Axe,Stone Axe
StoneAxe_CardDescription,I can get wood with this.,I can get wood with this.
StoneSharpened_CardName,Sharpened Stone,Sharpened Stone
StoneSharpened_CardDescription,"A useful tool, could use it to craft spears out of long sticks or axes out of wood.","A useful tool, could use it to craft spears out of long sticks or axes out of wood."
TorchOff_CardName,Torch,Torch
TorchOff_CardDescription,A portable source of light.,A portable source of light.
TorchOff_FuelCapacity.OnZero.ActionDescription,Torch Finished,Torch Finished
TorchOff_CardInteractions[0].ActionName,Light,Light
TorchOn_CardName,Torch,Torch
TorchOn_CardDescription,A portable source of light.,A portable source of light.
TorchOn_FuelCapacity.OnZero.ActionDescription,Torch Finished,Torch Finished
TorchOn_DismantleActions[0].ActionName,Extinguish,Extinguish
W_Abrasion_CardName,Abrasion,Abrasion
W_Abrasion_CardDescription,It hurts!,It hurts!
W_Abrasion_SpoilageTime.CardStatName,Progress,Progress
W_Abrasion_SpoilageTime.OnFull.ActionName,Abrasion,Abrasion
W_Abrasion_SpoilageTime.OnFull.ActionDescription,Wound healed!,Wound healed!
W_Abrasion_SpoilageTime.OnFull.ActionLog.LogText,My abrasion healed.,My abrasion healed.
W_Abrasion_UsageDurability.CardStatName,Medicine,Medicine
W_Abrasion_FuelCapacity.CardStatName,Infection,Infection
W_Abrasion_CardInteractions[0].ActionName,Clean (seawater),Clean (seawater)
W_Abrasion_CardInteractions[1].ActionName,Clean (water),Clean (water)
W_Abrasion_CardInteractions[2].ActionName,Clean (honeywater),Clean (honeywater)
W_Abrasion_CardInteractions[3].ActionName,Clean (lye),Clean (lye)
W_Abrasion_CardInteractions[4].ActionName,Clean (soap),Clean (soap)
W_Abrasion_CardInteractions[5].ActionName,Apply Gel,Apply Gel
W_Abrasion_CardInteractions[6].ActionName,Apply Honey,Apply Honey
W_Abrasion_InventorySlotsText,PLACE DRESSING HERE,PLACE DRESSING HERE
W_Abrasion_CookingRecipes[0].ActionName,Dressing,Dressing
W_Abrasion_CookingRecipes[0].CustomCookingText,Protecting Wound,Protecting Wound
W_ArmFractureL_CardName,Arm Fracture,Arm Fracture
W_ArmFractureL_CardDescription,It hurts so much.,It hurts so much.
W_ArmFractureL_SpoilageTime.OnFull.ActionName,Fracture,Fracture
W_ArmFractureL_SpoilageTime.OnFull.ActionDescription,My wound is much better now!,My wound is much better now!
W_ArmFractureL_SpoilageTime.OnFull.ActionLog.LogText,My fracture healed.,My fracture healed.
W_ArmFractureL_Progress.OnFull.ActionName,Tourniquet Damage,Tourniquet Damage
W_ArmFractureL_Progress.OnFull.ActionDescription,I think I had the tourniquet for too long.,I think I had the tourniquet for too long.
W_ArmFractureL_CardInteractions[0].ActionName,Apply,Apply
W_ArmFractureL_InventorySlotsText,PLACE SPLINT HERE,PLACE SPLINT HERE
W_ArmFractureL_CookingRecipes[0].ActionName,Splint,Splint
W_ArmFractureL_CookingRecipes[0].CustomCookingText,Constraining Movement,Constraining Movement
W_ArmFractureR_CardName,Arm Fracture,Arm Fracture
W_ArmFractureR_CardDescription,It hurts so much.,It hurts so much.
W_ArmFractureR_SpoilageTime.OnFull.ActionName,Fracture,Fracture
W_ArmFractureR_SpoilageTime.OnFull.ActionDescription,My wound is much better now!,My wound is much better now!
W_ArmFractureR_SpoilageTime.OnFull.ActionLog.LogText,My fracture healed.,My fracture healed.
W_ArmFractureR_Progress.OnFull.ActionName,Tourniquet Damage,Tourniquet Damage
W_ArmFractureR_Progress.OnFull.ActionDescription,I think I had the tourniquet for too long.,I think I had the tourniquet for too long.
W_ArmFractureR_CardInteractions[0].ActionName,Apply,Apply
W_ArmFractureR_InventorySlotsText,PLACE SPLINT HERE,PLACE SPLINT HERE
W_ArmFractureR_CookingRecipes[0].ActionName,Splint,Splint
W_ArmFractureR_CookingRecipes[0].CustomCookingText,Constraining Movement,Constraining Movement
W_ArmLacerationL_CardName,Arm Laceration,Arm Laceration
W_ArmLacerationL_CardDescription,A deep bleeding cut. It hurts so much.,A deep bleeding cut. It hurts so much.
W_ArmLacerationL_SpoilageTime.OnFull.ActionName,Laceration,Laceration
W_ArmLacerationL_SpoilageTime.OnFull.ActionDescription,My wound is much better now!,My wound is much better now!
W_ArmLacerationL_SpoilageTime.OnFull.ActionLog.LogText,My laceration healed.,My laceration healed.
W_ArmLacerationL_Progress.CardStatName,Coagulation,Coagulation
W_ArmLacerationL_Progress.OnFull.ActionName,Wound is no longer bleeding,Wound is no longer bleeding
W_ArmLacerationL_CardInteractions[0].ActionName,Clean (seawater),Clean (seawater)
W_ArmLacerationL_CardInteractions[1].ActionName,Clean (water),Clean (water)
W_ArmLacerationL_CardInteractions[2].ActionName,Clean (honeywater),Clean (honeywater)
W_ArmLacerationL_CardInteractions[3].ActionName,Clean (lye),Clean (lye)
W_ArmLacerationL_CardInteractions[4].ActionName,Clean (soap),Clean (soap)
W_ArmLacerationL_CardInteractions[5].ActionName,Apply,Apply
W_ArmLacerationL_CardInteractions[6].ActionName,Apply Honey,Apply Honey
W_ArmLacerationL_CardInteractions[7].ActionName,Stitch,Stitch
W_ArmLacerationL_InventorySlotsText,PLACE DRESSING / TOURNIQUET HERE,PLACE DRESSING / TOURNIQUET HERE
W_ArmLacerationL_CookingRecipes[0].ActionName,Pressure,Pressure
W_ArmLacerationL_CookingRecipes[0].CustomCookingText,Applying pressure.,Applying pressure.
W_ArmLacerationLStitched_CardName,Stitched Arm Laceration,Stitched Arm Laceration
W_ArmLacerationLStitched_CardDescription,"It hurts so much, at least it's closed now.","It hurts so much, at least it's closed now."
W_ArmLacerationLStitched_SpoilageTime.OnFull.ActionName,Laceration,Laceration
W_ArmLacerationLStitched_SpoilageTime.OnFull.ActionDescription,My wound is much better now!,My wound is much better now!
W_ArmLacerationLStitched_SpoilageTime.OnFull.ActionLog.LogText,My laceration healed.,My laceration healed.
W_ArmLacerationLStitched_Progress.CardStatName,Coagulation,Coagulation
W_ArmLacerationLStitched_Progress.OnFull.ActionName,Wound is no longer bleeding,Wound is no longer bleeding
